company_name,high,low,last_price,prev_close,change,percent_gain
PG Electroplast,574.40,562.10,572.30,566.25,6.05,1.07
IFCI,55.18,53.14,53.52,52.96,0.56,1.06
Metropolis,"2,171.10","2,131.00","2,153.60","2,131.00",22.6,1.06
Aadhar Housing ,522.40,513.40,517.80,512.40,5.4,1.05
CRISIL,"5,083.90","4,991.70","5,043.90","4,991.70",52.2,1.05
PB Fintech,"1,834.00","1,805.00","1,826.40","1,807.40",19,1.05
PNB Housing Fin,817.70,802.75,808.80,800.40,8.4,1.05
Happiest Minds ,581.50,567.00,573.00,567.10,5.9,1.04
Five-Star Busin,539.90,528.30,535.30,529.85,5.45,1.03
Tata Inv Corp,"6,824.50","6,699.50","6,760.50","6,691.50",69,1.03
Chalet Hotels,"1,050.00","1,029.90","1,040.30","1,029.80",10.5,1.02
Coal India,392.65,388.05,391.90,387.95,3.95,1.02
Sona BLW,457.45,446.35,450.05,445.50,4.55,1.02
BPCL,318.00,314.75,317.10,313.95,3.15,1
CAMS,"3,909.00","3,861.00","3,891.10","3,852.60",38.5,1
Dr Reddys Labs,"1,310.00","1,293.70","1,304.20","1,291.30",12.9,1
Krishna Inst.,762.05,747.25,755.65,748.15,7.5,1
Triveni Engg,352.95,346.70,348.80,345.35,3.45,1
Jaiprakash Pow,19.74,19.20,19.44,19.25,0.19,0.99
Nestle,"1,217.60","1,201.70","1,214.10","1,202.20",11.9,0.99
IGL,212.00,209.40,211.33,209.28,2.05,0.98
Solar Ind,"14,150.00","13,815.00","14,017.00","13,882.00",135,0.97
JK Bank,102.44,100.24,101.13,100.17,0.96,0.96
AIA Engineering,"3,091.90","3,033.30","3,062.20","3,033.30",28.9,0.95
Petronet LNG,276.00,273.40,275.70,273.10,2.6,0.95
Praj Industries,396.90,389.75,393.25,389.60,3.65,0.94
Britannia,"6,238.50","6,117.00","6,199.00","6,142.50",56.5,0.92
INDUS TOWERS,355.00,348.35,350.10,346.90,3.2,0.92
Chola Invest.,"1,524.00","1,507.00","1,521.00","1,507.10",13.9,0.92
Carborundum,"1,005.30",975.20,982.60,973.90,8.7,0.89
Suzlon Energy,58.03,57.21,57.57,57.06,0.51,0.89
Balrampur Chini,528.40,519.60,524.15,519.60,4.55,0.88
HFCL,72.15,70.17,70.68,70.06,0.62,0.88
MMTC,66.28,64.56,65.04,64.47,0.57,0.88
Adani Ports,"1,404.90","1,385.00","1,392.60","1,380.90",11.7,0.85
